Motor Vehicle Collision Report Manhattan Intersections,,,,,,,,,,,,,,,,,,,,,,
January   2016,,,,,,,,,,,,,,,,,,,,,,
Collisions Data,,,,,,,,,,,,,,,,,,,,,,
OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
001,2016001000048 ,149155752,2,BROADWAY&&JOHN STREET,JOHN STREET,BROADWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000009 ,149003889,1,BROADWAY&&MURRAY STREET,BROADWAY,MURRAY STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000021 ,149053676,1,BROADWAY&&PARK PLACE,BROADWAY,PARK PLACE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000180 ,149852751,1,BROADWAY&&PARK ROW,PARK ROW,BROADWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000085 ,149341856,1,BROADWAY&&READE STREET,BROADWAY,READE STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000185 ,149852756,2,BROADWAY&&READE STREET,BROADWAY,READE STREET,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000059 ,149227179,1,BROADWAY&&RECTOR STREET,BROADWAY,RECTOR STREET,2,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1
001,2016001000005 ,149003885,1,BROADWAY&&SPRING STREET,BROADWAY,SPRING STREET,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
001,2016001000202 ,149927678,1,BROADWAY&&VESEY STREET,BROADWAY,VESEY STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000096 ,149421653,1,BROADWAY&&WALKER STREET,BROADWAY,WALKER STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000082 ,149341853,1,BROADWAY&&WARREN STREET,WARREN STREET,BROADWAY,2,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1
001,2016001000022 ,149053677,1,BROOME STREET&&SULLIVAN STREET,BROOME STREET,SULLIVAN STREET,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
001,2016001000159 ,149782498,1,BROOME STREET&&WEST BROADWAY,BROOME STREET,WEST BROADWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000211 ,149942900,2,BROOME STREET&&WEST BROADWAY,BROOME STREET,WEST BROADWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000089 ,149375980,1,CANAL STREET&&CHURCH STREET,CANAL STREET,CHURCH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000162 ,149782501,1,CANAL STREET&&GREENWICH STREET,GREENWICH STREET,CANAL STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000190 ,149884740,2,CANAL STREET&&GREENWICH STREET,CANAL STREET,GREENWICH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000055 ,149227175,1,CANAL STREET&&HUDSON STREET,CANAL STREET,HUDSON STREET,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
001,2016001000143 ,149617226,2,CANAL STREET&&HUDSON STREET,CANAL STREET,HUDSON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000175 ,149816261,3,CANAL STREET&&HUDSON STREET,CANAL STREET,HUDSON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000204 ,149927680,4,CANAL STREET&&HUDSON STREET,CANAL STREET,HUDSON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000209 ,149942898,5,CANAL STREET&&HUDSON STREET,HUDSON STREET,CANAL STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000097 ,149421654,1,CANAL STREET&&MERCER STREET,CANAL STREET,MERCER STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000025 ,149053680,1,CANAL STREET&&RENWICK STREET,RENWICK STREET,CANAL STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000142 ,149617225,1,CANAL STREET&&VARICK STREET,VARICK STREET,CANAL STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000153 ,149687978,2,CANAL STREET&&VARICK STREET,CANAL STREET,VARICK STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000047 ,149155751,1,CANAL STREET&&WEST BROADWAY,WEST BROADWAY,CANAL STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000071 ,149305723,2,CANAL STREET&&WEST BROADWAY,CANAL STREET,WEST BROADWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000125 ,149564619,3,CANAL STREET&&WEST BROADWAY,WEST BROADWAY,CANAL STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000020 ,149053675,1,CANAL STREET&&WEST STREET,WEST STREET,CANAL STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000063 ,149265172,2,CANAL STREET&&WEST STREET,CANAL STREET,WEST STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000173 ,149816259,3,CANAL STREET&&WEST STREET,WEST STREET,CANAL STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000018 ,149053673,1,CANAL STREET&&WOOSTER STREET,CANAL STREET,WOOSTER STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000155 ,149697074,2,CANAL STREET&&WOOSTER STREET,CANAL STREET,WOOSTER STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000157 ,149697076,3,CANAL STREET&&WOOSTER STREET,CANAL STREET,WOOSTER STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000182 ,149852753,4,CANAL STREET&&WOOSTER STREET,CANAL STREET,WOOSTER STREET,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
001,2016001000061 ,149265170,1,CEDAR STREET&&TRINITY PLACE,CEDAR STREET,TRINITY PLACE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000100 ,149421657,1,CEDAR STREET&&WILLIAM STREET,CEDAR STREET,WILLIAM STREET,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
001,2016001000057 ,149227177,1,CHAMBERS STREET&&CHURCH STREET,CHAMBERS STREET,CHURCH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000062 ,149265171,2,CHAMBERS STREET&&CHURCH STREET,CHAMBERS STREET,CHURCH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000074 ,149305726,3,CHAMBERS STREET&&CHURCH STREET,CHAMBERS STREET,CHURCH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000132 ,149617215,4,CHAMBERS STREET&&CHURCH STREET,CHAMBERS STREET,CHURCH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000079 ,149341850,1,CHAMBERS STREET&&WEST STREET,CHAMBERS STREET,WEST STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
